Flann,53
Weedon,58
Gaitley,62
Shinner,64
Spring,64
Knok,56
Munby,57
Navarro,59
Fierro,59
Husbands,61
Scripps,69
Wollaston,57
Costin,45
Moukes,53
Walburn,56
Van Salzberger,56
Randleson,64
Saiens,69
Grevatt,60
Thwaites,64
Eddow,67
Camock,56
Mattheeuw,60
Dachey,66
Carlucci,62
Haibel,61
Collens,56
Scotti,54
O'Leahy,59
Bachelar,72
Dyble,64
Droogan,64
McGirr,58
Bein,68
Jerrome,62
Guiu,75
Boord,73
Ryde,71
MacMychem,72
Dionisetti,69
Ebertz,55
Rivard,56
Laffin,58
Bruckenthal,73
Mardell,68
Juszczyk,77
Dick,68
Petty,80
Beggin,50
Yarwood,70
Loines,66
Kort,50
Missington,60
Westfalen,60
Towsey,54
Edgerly,57
Lafoy,61
Soame,61
Moncrefe,48
Cluderay,57
Garvie,61
Brass,64
Tremellan,73
Bradnock,71
Glentz,63
Lamball,54
Dungee,58
Mundie,59
McWhirter,55
Tapenden,65
Franies,55
Brownbill,59
Coite,67
Gillespey,62
Sicha,52
Kinghorn,46
Warwicker,79
Edgeler,55
Dearness,53
Bickerstasse,59
Empringham,80
Kupker,51
Bonifas,56
Lepick,81
Tother,52
Fyndon,59
Twitching,52
Jenicek,49
Sidebotton,54
Blance,73
Carson,53
McMearty,62
Relph,54
Rieger,53
Sultana,62
Sothcott,50
Haskur,57
Rickis,69
Petrello,55
Pessler,60
